hsa-miR-183
hsa-miR-21
hsa-miR-139
hsa-miR-96
hsa-miR-182
hsa-miR-10b
hsa-miR-204
hsa-miR-140
hsa-miR-99a
hsa-miR-145
hsa-miR-143
hsa-miR-486
hsa-miR-100
hsa-let-7c
hsa-miR-125b-2
hsa-miR-195
hsa-miR-381
hsa-miR-148b
hsa-miR-378
hsa-miR-1301
hsa-miR-497
hsa-miR-141
hsa-miR-210
hsa-miR-190b
hsa-miR-451
hsa-miR-33b
hsa-miR-125b-1
hsa-miR-144
hsa-miR-92b
hsa-miR-192
hsa-miR-429
hsa-miR-671
hsa-miR-1258
hsa-miR-584
hsa-miR-1247
hsa-miR-592
hsa-miR-3677
hsa-miR-130b
hsa-miR-142
hsa-miR-340
hsa-miR-454
hsa-miR-200a
hsa-miR-493
hsa-miR-452
hsa-miR-342
hsa-miR-3199-2
hsa-miR-196a-1
hsa-miR-331
hsa-miR-335
hsa-miR-4326
hsa-miR-196a-2
hsa-miR-760
hsa-miR-379
hsa-miR-32
hsa-miR-1307
hsa-miR-937
hsa-miR-511-2
hsa-miR-3127
hsa-miR-3613
hsa-miR-940
hsa-miR-191
hsa-miR-200c
hsa-miR-337
hsa-miR-188
hsa-miR-147b
hsa-miR-511-1
hsa-miR-769
hsa-miR-301a
hsa-miR-184
hsa-miR-181b-1
hsa-miR-375
hsa-miR-3610
hsa-miR-215
hsa-miR-383
hsa-miR-503
hsa-miR-495
hsa-miR-1277
hsa-miR-181b-2
hsa-miR-218-2
hsa-miR-133a-1
hsa-miR-330
hsa-miR-200b
hsa-miR-7-1
hsa-miR-590
hsa-miR-659
hsa-miR-203
hsa-miR-483
hsa-miR-432
hsa-miR-98
hsa-miR-484
hsa-miR-766
hsa-miR-449a
hsa-miR-551b
hsa-miR-676
hsa-miR-33a
hsa-miR-155
hsa-miR-3170
hsa-miR-93
hsa-miR-128-2
hsa-miR-99b
hsa-miR-15a
hsa-miR-1468
hsa-miR-28
hsa-miR-128-1
hsa-miR-301b
hsa-miR-365-2
hsa-miR-103-2
hsa-miR-421
hsa-miR-365-1
hsa-miR-629
hsa-miR-29a
hsa-miR-193a
hsa-miR-433
hsa-miR-877
hsa-miR-3607
hsa-miR-1269
hsa-miR-411
hsa-miR-223
hsa-miR-326
hsa-miR-654
hsa-miR-345
hsa-miR-1-2
hsa-miR-299
hsa-miR-101-2
hsa-miR-378c
hsa-miR-376c
hsa-miR-708
hsa-miR-3928
hsa-miR-3065
hsa-miR-377
hsa-miR-455
hsa-miR-148a
hsa-miR-3664
hsa-miR-450b
hsa-miR-1266
hsa-miR-15b
hsa-miR-585
hsa-miR-26a-2
hsa-miR-224
hsa-miR-3199-1
hsa-miR-758
hsa-miR-3150b
hsa-miR-3200
hsa-miR-425
hsa-miR-1976
hsa-miR-181a-1
hsa-miR-2114
hsa-miR-431
hsa-miR-133b
hsa-miR-410
hsa-miR-423
hsa-miR-323b
hsa-miR-615
hsa-miR-3687
hsa-miR-3913-1
hsa-miR-3940
hsa-miR-185
hsa-miR-129-1
hsa-miR-1229
hsa-miR-103-1
hsa-miR-665
hsa-miR-2277
hsa-miR-3934
hsa-miR-891a
hsa-miR-19a
hsa-miR-324
hsa-miR-3117
hsa-miR-651
hsa-miR-3648
hsa-miR-29b-1
hsa-miR-1224
hsa-miR-107
hsa-miR-129-2
hsa-miR-1254
hsa-miR-130a
hsa-miR-3187
hsa-miR-3191
hsa-miR-29b-2
hsa-let-7f-1
hsa-miR-655
hsa-miR-514-1
hsa-miR-127
hsa-miR-934
hsa-miR-3678
hsa-miR-190
hsa-miR-194-2
hsa-miR-3652
hsa-miR-16-1
hsa-miR-1226
hsa-miR-656
hsa-miR-944
hsa-miR-1262
hsa-miR-30a
hsa-miR-3074
hsa-miR-545
hsa-miR-939
hsa-miR-889
hsa-miR-1295
hsa-let-7e
hsa-miR-20b
hsa-miR-616
hsa-miR-487b
hsa-miR-424
hsa-miR-194-1
hsa-miR-3190
hsa-miR-19b-1
hsa-miR-501
hsa-miR-485
hsa-miR-106a
hsa-miR-628
hsa-miR-643
hsa-miR-27a
hsa-miR-17
hsa-miR-1292
hsa-miR-1237
hsa-miR-92a-2
hsa-miR-18a
hsa-miR-494
hsa-miR-126
hsa-miR-581
hsa-miR-675
hsa-miR-636
hsa-miR-187
hsa-miR-296
hsa-miR-376b
hsa-miR-548v
hsa-miR-3651
hsa-miR-3136
hsa-miR-10a
hsa-miR-579
hsa-miR-487a
hsa-miR-217
hsa-miR-3614
hsa-miR-9-1
hsa-miR-9-2
hsa-miR-370
hsa-miR-101-1
hsa-miR-576
hsa-miR-1296
hsa-let-7g
hsa-miR-514-3
hsa-miR-3917
hsa-let-7b
hsa-miR-30d
hsa-miR-450a-2
hsa-miR-376a-2
hsa-miR-153-1
hsa-miR-3620
hsa-miR-582
hsa-miR-491
hsa-miR-202
hsa-miR-3682
hsa-miR-134
hsa-miR-329-1
hsa-miR-3615
hsa-miR-328
hsa-miR-589
hsa-miR-199a-2
hsa-miR-221
hsa-miR-181c
hsa-miR-374a
hsa-miR-509-1
hsa-miR-146b
hsa-miR-450a-1
hsa-miR-639
hsa-miR-509-3
hsa-miR-199a-1
hsa-miR-556
hsa-miR-1306
hsa-miR-2115
hsa-miR-542
hsa-miR-369
hsa-miR-605
hsa-miR-196b
hsa-miR-219-1
hsa-miR-150
hsa-miR-16-2
hsa-miR-374b
