Protein A,Protein B
ACTB,ATF7IP
ACTB,CFL1
ACTB,CFL2
ACTB,DNASE1
ACTB,DSTN
ACTB,HNRNPU
ACTB,SHBG
ACTB,SMAD9
ACTC1,BRP44L
ACTC1,CAPN1
ACTC1,SLC4A1
ACTG1,ACTB
ACTG1,ATF7IP
ACTG1,CFL1
ACTG1,CFL2
ACTG1,EIF6
ACTG1,NCF1
ACTG1,PFN2
ACTG1,PRSS23
ACTG1,PTPRO
ACTG1,SH3GL2
ACTG1,ST3GAL3
ACTG1,WASF1
ACTG2,SHBG
ACTL6A,ARHGDIA
ACTL6A,MYC
ACTL6A,SMARCA2
ACTL6A,SMARCA4
ACTL6A,TRRAP
ACTL6B,COQ9
ACTL6B,CTBP1
ACTL6B,SMARCA2
ACTN1,ADORA2A
ACTN1,ATXN2
ACTN1,CAMK2A
ACTN1,COIL
ACTN1,FXN
ACTN1,GFI1B
ACTN1,MAGEA11
ACTN1,SRC
ACTN1,VCL
ACTN1,XRCC4
ACTN2,ATXN2
ACTN2,CAPN1
ACTN2,COIL
ACTN2,EPS8L1
ACTN3,ACTN2
ACTN3,ADORA2A
ACTN4,ACTC1
ACTN4,ACTN3
ACTN4,ADORA2A
ACTN4,ATP6V1B1
ACTN4,CAMK2A
ACTN4,CAMK2B
ACTN4,CAMK2G
ACTN4,COIL
ACTN4,COL17A1
ACTN4,GSN
ACTN4,ITGB1
ACTN4,LRRC7
ACTN4,MAGI1
ACTN4,MYOZ1
ACTN4,MYOZ2
ACTN4,NEB
ACTN4,NOS2
ACTN4,PTPN11
ACTN4,SACS
ACTN4,SERPINE1
ACTN4,TJP1
ACTR10,ACTA1
ACTR1A,NUMA1
ACTR1A,SPTBN1
ACTR1A,SPTBN2
ACTR1B,ACTA1
ACTR2,ACTC1
ACTR2,ACTR3
ACTR2,ARPC5
ACTR3,ARPC2
ACTR3,ARPC5
ACTR3,CDC42
ACTR3,CDH1
ACTR3,CTTN
ACTR8,BMPR2
ACVR1,AP2B1
ACVR1,CDK14
ACVR1,CHN1
ACVR1,CREBBP
ACVR1,DCAF6
ACVR1,DUSP13
ACVR1,FANCL
ACVR1,FBXO30
ACVR1,FCHO1
ACVR1,FGD6
ACVR1,FKBP4
ACVR1,IKBKB
ACVR1,KLHL35
ACVR1,NEK8
ACVR1,NKIRAS1
ACVR1,NRAS
ACVR1,NUAK2
ACVR1,PAK1
ACVR1,PLEK
ACVR1,PLEKHB1
ACVR1,PLEKHJ1
ACVR1,RAB17
ACVR1,RAB25
ACVR1,RAB33B
ACVR1,RAB3B
ACVR1,RAB6B
ACVR1,RAP2A
ACVR1,RASD2
ACVR1,RASL12
ACVR1,RHEBL1
ACVR1,RHOD
ACVR1,RHOJ
ACVR1,RPS27A
ACVR1,RRAS2
ACVR1,RXRA
ACVR1,SMAD1
ACVR1,SOCS6
ACVR1,STX8
ACVR1,TGFBR1
ACVR1,THRB
ACVR1,TTC17
ACVR1,TTC27
ACVR1,UBA52
ACVR1,UBE2E3
ACVR1,UBXN1
ACVR1,USP39
ACVR1,VDR
ACVR1,VEPH1
ACVR1,WDR61
ACVR1B,IGSF1
ACVR1B,INHBA
ACVR1B,INHBB
ACVR1B,INHBC
ACVR1B,SMAD2
ACVR1B,SMAD4
ACVR1B,SNX1
ACVR1B,TDGF1
ACVR1C,INHBB
ACVR1C,TDGF1
ACVR2A,ACVRL1
ACVR2B,ACVR1B
ACVR2B,BMP7
ACVR2B,GDF5
ACVR2B,IGSF1
ACVR2B,INHBA
ACVR2B,INHBB
ACVR2B,INHBC
ACVR2B,MSTN
ACVR2B,SNX1
ACVRL1,TGFB1
ACVRL1,TGFB3
ACVRL1,TGFBR1
ACVRL1,TGFBR2
ACVRL1,XIAP
ACY1,TTC1
ADAM10,DLL1
ADAM10,EFNA1
ADAM11,STC2
ADAM12,ACTN2
ADAM12,EGF
ADAM12,FSTL3
ADAM12,GRB2
ADAM12,IGFBP3
ADAM12,IGFBP5
ADAM12,PACSIN3
ADAM12,PIK3R1
ADAM12,YES1
ADAM15,ABL1
ADAM15,ARHGEF6
ADAM15,ARHGEF7
ADAM15,FYN
ADAM15,GRB2
ADAM15,HCK
ADAM15,LCK
ADAM15,LYN
ADAM15,NCK1
ADAM15,NPHP1
ADAM15,SH3GL2
ADAM15,SH3PXD2A
ADAM15,SH3RF1
ADAM15,SH3RF3
ADAM15,SNX33
ADAM15,SORBS1
ADAM15,SORBS2
ADAM15,SORBS3
ADAM15,SRC
ADAM15,YES1
ADAM17,DLG1
ADAM17,ERBB4
ADAM17,FHL2
ADAM17,MAD2L1
ADAM17,NOTCH1
ADAM17,PTPN3
ADAM17,TGFA
ADAM17,TIMP3
ADAM17,TNF
ADAM19,A2M
ADAM19,COPB1
ADAM19,NRG1
ADAM2,CD9
ADAM22,LGI1
ADAM22,YWHAB
ADAM22,YWHAZ
ADAM23,PRNP
ADAM28,ITGA4
ADAM3B,KRT9
ADAM9,ITGA3
ADAM9,ITGA6
ADAM9,ITGAV
ADAM9,PRKCD
ADAM9,TNF
ADAMTS1,A2M
ADAMTS1,ACAN
ADAMTS1,VCAN
ADAMTS1,VEGFA
ADAMTS13,VWF
ADAMTS4,ACAN
ADAMTS4,BCAN
ADAMTS4,FURIN
ADAMTS4,HP
ADAMTS4,MT2A
ADAMTS4,SERPINA1
ADAMTS4,SERPINA3
ADAMTS5,MMP13
ADAP1,ANP32A
ADAP1,AP3B2
ADAP1,CSNK1A1
ADAP1,NCL
ADAP1,PRKCI
ADAP1,PRKCZ
ADAP1,PRKD1
ADAP1,PURA
ADAP1,RPS9
ADAP1,SFRS2
ADAP1,SUB1
ADAR,XPO1
ADCY1,ADCY2
ADCY10,SSTR5
ADCY5,ADCY2
ADCY5,GNAI1
ADCY5,GNAS
ADCY5,PRKACA
ADCY5,PRKCA
ADCY5,PRKCZ
ADCY5,RGS2
ADCY6,ATXN1
ADCY6,CHRNA7
ADCY6,GNAS
ADCY6,RAF1
ADCY7,PRKCD
ADCY8,CALM1
ADCY8,PPP2CA
ADCYAP1,ADCYAP1R1
ADCYAP1,SCTR
ADCYAP1,VIPR1
ADCYAP1R1,CALM1
ADD1,ID3
ADD1,RFX1
ADD2,ADD1
ADH5,CHD3
ADIPOQ,CDH13
