Protein A,Protein B
DYNLL1,PFKM
DYNLL1,PFKP
DYNLL1,PKIA
DYNLL1,PKIB
DYNLL1,PKIG
DYNLL1,RAB4A
DYNLL1,THAP8
DYNLL1,TUBB
DYNLL1,VIM
DYNLL1,ZHX1
DYNLL2,BMF
DYNLL2,DNAL4
DYNLL2,GPRIN2
DYNLL2,HOMER3
DYNLL2,MYO5A
DYNLL2,THAP10
DYNLT1,BMPR2
DYNLT1,DYNC1I1
DYNLT1,TROAP
DYNLT1,VDAC1
DYNLT3,CD5
DYNLT3,DYNC1I2
DYNLT3,PVR
DYNLT3,TESC
DYRK1A,CCNL2
DYRK1A,FOXO1
DYRK1A,SF3B1
DYRK1A,YWHAB
DYRK1A,YWHAE
DYRK1A,YWHAG
DYRK1B,MAPK1
DYRK1B,MAPK14
DYRK1B,MBP
DYRK1B,PCBD1
DYRK1B,RANBP9
DYRK2,HIST2H2BE
DYRK2,HIST3H3
DYRK2,RAD54B
DYSF,ANXA1
DYSF,ANXA2
DYSF,CAV3
DZIP1,DAZ1
DZIP3,NCOR1
E2F1,BRCA1
E2F1,CCNA2
E2F1,CDK3
E2F1,CREBBP
E2F1,GSK3B
E2F1,NFKB1
E2F1,PHB
E2F1,SP1
E2F1,TFDP1
E2F2,BCAR1
E2F2,CDK3
E2F2,RB1
E2F2,SETD8
E2F2,SP1
E2F2,TFDP1
E2F2,YY1
E2F3,CCNA2
E2F3,CDK3
E2F3,RB1
E2F3,SP1
E2F3,TFDP1
E2F3,TFE3
E2F3,YY1
E2F4,BRCA1
E2F4,NOLC1
E2F4,RB1
E2F4,RBL1
E2F4,RBL2
E2F4,TFDP1
E2F5,EP300
E2F5,RBL1
E2F5,RBL2
E2F5,SMAD3
E2F5,TFDP1
E2F6,BMI1
E2F6,E2F1
E2F6,EZH1
E2F6,EZH2
E2F6,RING1
E2F6,TFDP1
E2F6,TFDP2
E4F1,CDKN2A
E4F1,EHMT2
E4F1,RASSF1
E4F1,RB1
E4F1,SMAD9
E4F1,TP53
EAF1,ELL
EAF1,ELL2
EAF2,ELL
EAF2,TCEA1
EAF2,TFPT
EAPP,C20orf4
EAPP,UBQLN4
EBAG9,SNAPIN
EBF1,PAX5
EBI3,CANX
EBI3,GOSR1
EBI3,IL12A
EBI3,IL27RA
EBNA1BP2,FGF3
EBPL,EBP
ECD,NR3C1
ECE1,EDN1
ECH1,EEF1G
ECH1,PAFAH1B3
ECH1,SERPINB9
ECH1,TLR10
ECHS1,CBWD2
ECM1,FBLN1
ECSIT,SMAD1
ECSIT,SMAD4
ECSIT,SMURF1
ECSIT,TRAF6
ECT2,F2RL2
ECT2,PARD6A
ECT2,RHOG
EDA,EDA2R
EDAR,EDA
EDAR,TRAF1
EDAR,TRAF2
EDAR,TRAF3
EDARADD,EDAR
EDC3,DDX6
EDC3,ZFP36
EDEM1,CANX
EDF1,ATF1
EDF1,ATF2
EDF1,CALM1
EDF1,CALM2
EDF1,CALM3
EDF1,CREB1
EDF1,NR1H3
EDF1,NR5A1
EDF1,PPARG
EDF1,RXRA
EDF1,TAF1
EDF1,TBP
EDIL3,ITGAV
EDN1,ADM
EDN1,BAT3
EDN1,COPS6
EDN1,EDNRA
EDN1,UBQLN4
EDNRA,EDN3
EDNRB,CAV1
EDNRB,EDN1
EDNRB,EDN3
EDNRB,GNA11
EDNRB,GNA13
EDNRB,GRK6
EDNRB,NOS3
EEA1,RAB5A
EEA1,RAB5B
EEA1,RAB5C
EEA1,TOM1
EED,ANXA5
EED,EZH1
EED,EZH2
EED,HDAC1
EED,HDAC2
EED,HDAC3
EED,ITGA4
EED,ITGAE
EED,ITGB7
EED,PPP1R8
EED,TGS1
EED,YY1
EEF1A1,ACTB
EEF1A1,ARIH2
EEF1A1,AXIN1
EEF1A1,BRMS1
EEF1A1,BTBD2
EEF1A1,C11orf59
EEF1A1,C4B
EEF1A1,CCDC130
EEF1A1,CCL18
EEF1A1,COX17
EEF1A1,CRADD
EEF1A1,CRCT1
EEF1A1,DLEU1
EEF1A1,DYNLL1
EEF1A1,EIF3F
EEF1A1,FAS
EEF1A1,HBXIP
EEF1A1,HSPE1
EEF1A1,ITSN1
EEF1A1,KIF1B
EEF1A1,LAMA4
EEF1A1,LSM3
EEF1A1,MAD2L1BP
EEF1A1,MAGED2
EEF1A1,MLLT3
EEF1A1,MNAT1
EEF1A1,MRPL42
EEF1A1,NEU1
EEF1A1,ORMDL3
EEF1A1,PAEP
EEF1A1,PAFAH1B3
EEF1A1,PAPSS1
EEF1A1,PCDHA4
EEF1A1,PFN2
EEF1A1,PHYHIP
EEF1A1,PLAUR
EEF1A1,POLE2
EEF1A1,POLR2C
EEF1A1,PQBP1
EEF1A1,PSG9
EEF1A1,PSMD11
EEF1A1,PTPN4
EEF1A1,PTPRCAP
EEF1A1,RAB27A
EEF1A1,RFC5
EEF1A1,RGS12
EEF1A1,RNF10
EEF1A1,RPA2
EEF1A1,RPLP1
EEF1A1,RSRC1
EEF1A1,SDHAF2
EEF1A1,SERPINB9
EEF1A1,SHBG
EEF1A1,SSR1
EEF1A1,STMN2
EEF1A1,SULT1E1
EEF1A1,TAF9
EEF1A1,TGIF1
EEF1A1,TMPRSS3
EEF1A1,TP53BP2
EEF1A1,TRDMT1
EEF1A1,TTR
EEF1A1,UBQLN4
EEF1A1,WARS
EEF1A1,ZBTB16
EEF1A1,ZCCHC10
EEF1A1,ZNF24
EEF1A2,CHRM4
EEF1B2,HARS
EEF1B2,ULK2
EEF1D,ASCC2
EEF1D,C10orf4
EEF1D,CRMP1
EEF1D,CSNK2A1
EEF1D,FOS
EEF1D,HEXDC
EEF1D,KARS
EEF1G,ADAP2
EEF1G,C1orf174
EEF1G,C7orf20
EEF1G,CARS
EEF1G,CBX8
EEF1G,CHFR
EEF1G,CXCL13
EEF1G,DLEU1
EEF1G,EEF1B2
EEF1G,EEF1D
EEF1G,EFNA1
EEF1G,EID2B
EEF1G,FAM195A
EEF1G,FOXG1
EEF1G,GADD45G
EEF1G,HARS
EEF1G,HDAC5
EEF1G,HLTF
EEF1G,LARS
EEF1G,LZTS1
EEF1G,MED31
EEF1G,MVD
EEF1G,NADK
EEF1G,NUP85
EEF1G,OGFOD2
EEF1G,PHACTR3
EEF1G,PLEKHA4
EEF1G,YWHAG
EEF2K,EEF2
EEF2K,RPS6KB2
EFCAB4B,TRIM29
EFCAB6,AR
EFCAB6,PARK7
EFEMP1,ARAF
EFEMP1,GFI1B
EFEMP1,RAF1
EFEMP1,SGTA
EFEMP1,TIMP3
EFEMP2,APEX2
EFEMP2,CATSPER1
EFEMP2,CCNK
EFEMP2,FAM107A
EFEMP2,FAM115A
EFEMP2,FAM124B
EFEMP2,GLRX3
EFEMP2,HHEX
EFEMP2,LINGO1
EFEMP2,LRDD
EFEMP2,PLSCR1
EFEMP2,PLSCR4
EFEMP2,RHPN1
EFEMP2,RIBC2
EFEMP2,SGTB
EFEMP2,TP53
EFEMP2,UBQLN1
EFEMP2,UBQLN4
EFEMP2,ZNF426
EFEMP2,ZNF638
EFHA1,MBP
EFHC1,CACNA1E
EFNA1,EPHA1
EFNA1,EPHA2
EFNA1,EPHA3
EFNA1,EPHA7
EFNA1,EPHB1
EFNA1,PPBP
EFNA2,ADAM10
EFNA2,EPHA2
EFNA2,EPHA3
EFNA2,EPHA5
EFNA3,EPHA2
EFNA3,EPHA5
EFNA3,PRSS23
EFNA4,EPHA2
EFNA4,EPHA5
EFNA4,EPHA8
EFNA4,MAP2K4
EFNA5,EPHA2
EFNA5,EPHA3
EFNA5,EPHA4
EFNA5,EPHA5
EFNA5,EPHA7
EFNA5,EPHA8
EFNA5,EPHB1
EFNA5,EPHB2
EFNB1,SRC
EFNB2,DLG4
EFNB2,EPHA3
EFNB2,EPHB4
EFNB2,GRIP1
EFNB2,HOMER1
EFNB2,PDZRN3
EFNB2,PECAM1
EFNB2,PICK1
EFNB2,PSEN1
EFNB2,RGS3
EFNB2,SRC
EFNB3,EPHA4
EFNB3,EPHB3
EFS,PTK2
EFS,PTK2B
EFS,PTPN12
EFS,SORBS3
EFS,TRAPPC6A
EFTUD2,ARPC3
EFTUD2,GOLM1
EGF,GRB2
EGFR,ACTA1
EGFR,ADRBK1
EGFR,ALCAM
EGFR,AR
EGFR,AREG
EGFR,ATP1A1
EGFR,ATP1B1
EGFR,CALM1
EGFR,CALM2
EGFR,CALM3
EGFR,CAV1
EGFR,CAV2
EGFR,CBL
EGFR,CD44
EGFR,CDC25A
EGFR,CLTA
EGFR,CLTCL1
EGFR,CRK
EGFR,CTNNB1
EGFR,CTNND1
EGFR,DCN
EGFR,EGF
EGFR,ELF3
EGFR,EPB41
EGFR,EPHA2
EGFR,EPS15
EGFR,ERBB2
EGFR,ERBB4
EGFR,EZR
EGFR,FAS
EGFR,GAB1
EGFR,GAPDH
EGFR,GRB2
EGFR,HBEGF
EGFR,HGS
EGFR,HIST3H3
EGFR,HOXC10
EGFR,ICAM1
EGFR,LYN
EGFR,MAP2K1
EGFR,MAPK1
EGFR,MET
EGFR,MUC1
EGFR,PAK1
EGFR,PIK3C2A
EGFR,PIK3R2
EGFR,PKIA
EGFR,PLCG1
EGFR,PLD1
EGFR,PLD2
EGFR,PRKD1
EGFR,PTPN1
EGFR,RASA1
EGFR,RGS16
EGFR,S100A7
EGFR,S100A9
EGFR,SCAMP1
EGFR,SCAMP3
EGFR,SEC13
EGFR,SFN
EGFR,SGSM2
EGFR,SH3BGRL3
EGFR,SLC3A2
EGFR,SLC9A3R1
EGFR,SOCS5
EGFR,STAM2
EGFR,STAT1
EGFR,STAT3
EGFR,STAT5B
EGFR,TUBA1A
EGFR,TUBA4A
EGFR,UBB
EGFR,VAV2
EGLN2,HIF1A
EGLN3,WDR83
EGR1,CDKN2A
EGR1,SP1
EGR2,MED31
EHBP1,EHD1
EHD1,ZFYVE20
EHD2,AP1M1
EHD2,AP2M1
EHD2,EHBP1
EHD2,PICALM
EHD2,SLC2A4
EHD3,EHD1
EHD3,SNAP29
EHHADH,SCP2
EHMT2,BAT2L1
EHMT2,C10orf12
EHMT2,CCDC33
EHMT2,CUX1
EHMT2,HIST1H1B
EHMT2,HIST3H3
EHMT2,LNX1
EHMT2,THAP7
EID1,ARID4A
EID1,EP300
EID1,MDM2
EID1,RB1
EID1,TRIM27
EID2,EP300
EID2,HDAC1
EID2,HDAC2
EID2,SMAD2
EID2,SMAD3
EID2,SMAD4
EID2B,EID2
EID2B,HDAC1
EIF1,OLFM2
EIF1,UPF2
EIF2AK1,CDC37
EIF2AK1,EIF2S1
EIF2AK1,HSP90AA1
EIF2AK2,CDC42
EIF2AK2,ELF2
EIF2AK2,HSP90AA1
EIF2AK2,HSPA1A
EIF2AK2,JAK1
EIF2AK2,MAP3K7
EIF2AK2,MAP3K7IP2
EIF2AK2,NFKBIA
EIF2AK2,NPM1
EIF2AK2,PDGFRB
EIF2AK2,PPP2R5A
EIF2AK2,STAT3
EIF2AK2,TP53
EIF2AK2,TYK2
EIF2AK3,DNAJC3
EIF2AK3,EIF2S1
EIF2AK3,HSP90AA1
EIF2AK3,HSPA5
EIF2AK3,IKBKB
EIF2AK3,NFE2L2
EIF2AK4,SMAD1
EIF2AK4,SMAD4
EIF2AK4,TGFBR1
EIF2B1,ADRA2B
EIF2B1,ADRB2
EIF2B1,EIF2B2
EIF2B1,EIF2S1
EIF2B1,EIF2S2
EIF2B1,MRPL4
EIF2B2,EIF2B5
EIF2B2,EIF2S1
EIF2B2,NCK1
EIF2B3,GOLM1
EIF2B4,EIF2B2
EIF2B4,EIF2S1
EIF2B4,EIF2S2
EIF2B5,EIF2S2
EIF2C1,DICER1
EIF2C1,EIF2C2
EIF2C2,DDX20
EIF2C2,DICER1
EIF2S1,EIF1AX
EIF2S1,EIF2AK2
EIF2S1,EIF2B3
EIF2S2,CCDC90B
EIF2S2,EIF2B3
EIF2S2,EIF2S1
EIF2S2,EIF4G2
EIF2S2,EIF5
EIF2S2,KIAA1377
EIF2S2,NCK1
EIF2S2,PLEKHM1
EIF2S2,PRKDC
EIF2S2,UNC119
EIF3A,EIF4G1
EIF3B,EIF3A
EIF3B,EIF3G
EIF3B,EIF3I
EIF3B,EIF3J
EIF3B,EIF4G1
EIF3B,IL2RB
EIF3C,AAGAB
EIF3C,EIF1AX
EIF3C,EIF3E
EIF3C,EIF3G
EIF3C,EIF3J
EIF3C,NDUFA4L2
EIF3C,SMAD9
EIF3C,SNIP1
EIF3D,EIF3G
EIF3D,EIF3J
EIF3D,EIF5
EIF3E,BAT2
EIF3E,DDX24
EIF3E,GPAA1
EIF3E,GPBP1L1
EIF3E,HAP1
EIF3E,IFIT1
EIF3E,NSF
EIF3E,RUNDC3A
EIF3E,SMAD9
EIF3F,EIF3M
EIF3F,HAX1
EIF3F,MTOR
EIF3F,SHBG
EIF3F,SMAD9
EIF3G,EIF3A
EIF3G,EIF3H
EIF3G,EIF5
EIF3G,EPB41
EIF3H,ABI3
EIF3H,CCDC85B
EIF3I,EIF3A
EIF3I,EIF4G1
EIF3I,ESR1
EIF3I,TGFB1
EIF3I,TGFBR2
EIF3J,EIF3A
EIF3J,GNB5
EIF3J,GOLM1
EIF3J,MAGED1
EIF3J,SIAH1
EIF3J,TADA3
EIF3K,CCND3
EIF3K,EIF3C
EIF3K,EIF3G
EIF3K,EIF3H
EIF3K,EIF3J
EIF3L,EIF3D
EIF3L,EIF3E
EIF3L,EIF3K
EIF3L,POLR1B
EIF3L,RRN3
EIF3L,XRN2
EIF4A2,EIF4G2
EIF4A3,C3orf19
EIF4A3,MAGOH
EIF4A3,RBM8A
EIF4A3,YWHAQ
EIF4B,EIF3A
EIF4B,EIF4E
EIF4E,PML
EIF4E2,ARIH1
EIF4E2,EIF4EBP1
EIF4E2,EIF4EBP3
EIF4E2,EIF4ENIF1
EIF4E2,KRT20
EIF4E2,KRTAP4-12
EIF4EBP1,CHTF8
EIF4EBP1,EIF4E
EIF4EBP1,MVD
EIF4EBP2,EIF4E
EIF4EBP3,EIF4E
EIF4ENIF1,EIF3E
EIF4ENIF1,EIF4E
EIF4ENIF1,SMAD3
EIF4ENIF1,SPAG5
EIF4G1,EIF4A1
EIF4G1,EIF4A2
EIF4G1,EIF4E
EIF4G1,EIF5
EIF4G1,MKNK1
EIF4G1,NCBP1
EIF4G1,NCBP2
EIF4G1,PABPC1
EIF4G1,ZFYVE9
EIF4G2,EIF3A
EIF4G2,EIF4A1
EIF4G2,EIF4E
EIF4G2,EIF5
EIF4G2,NCBP1
EIF4G3,EIF4A1
EIF4G3,EIF4E
EIF4G3,PABPC1
EIF4H,C11orf68
EIF5,EIF1AX
EIF5,EIF1AY
EIF5A,DOHH
EIF5A,TGM2
EIF5B,CBL
EIF5B,EIF1AX
EIF6,3-Sep
EIF6,ACAP3
EIF6,AKT1S1
EIF6,C1orf103
EIF6,C4orf27
EIF6,CRELD1
EIF6,ENOX1
EIF6,FUNDC2
EIF6,GIT1
EIF6,GNB2L1
EIF6,ITGB4
EIF6,KIAA1377
EIF6,MRPS31
EIF6,OFD1
EIF6,OS9
EIF6,PDHA1
EIF6,POLA2
EIF6,PRKCB
EIF6,RPL6
EIF6,UPF3B
EIF6,USP33
EIF6,WFS1
ELAC2,ASCC2
ELAC2,CTBP1
ELAC2,CTBP2
ELAC2,RING1
ELANE,CAMP
ELANE,CSF3
ELANE,CSF3R
ELANE,CXCL12
ELANE,CXCR4
ELANE,F2R
ELANE,F2RL1
ELANE,F5
ELANE,LPA
ELANE,SERPINA3
ELANE,SERPIND1
ELANE,SERPINF2
ELANE,SLPI
ELANE,TFPI
ELANE,VCAM1
ELANE,YARS
ELAVL1,ANP32A
ELAVL1,ANP32B
ELAVL1,KPNA1
ELAVL1,KPNB1
ELAVL1,PAIP2
ELAVL1,SET
ELAVL1,TNPO1
ELAVL1,TNPO2
ELAVL2,ELAVL3
ELAVL2,ELAVL4
ELAVL4,GAP43
ELF1,HOXC13
ELF1,NFKB1
ELF1,NFYB
ELF1,RB1
ELF1,REL
ELF1,SP1
ELF2,LMO2
ELF2,RUNX1
ELF3,EP300
ELF3,NFKB1
ELF4,FBXO4
ELF4,FBXO7
ELF4,PML
ELF4,RUNX1
ELF4,SKP2
ELF4,UBB
ELF5,SIRT6
ELF5,UBQLN4
ELK1,BRCA1
ELK1,CEBPB
ELK1,CREBBP
ELK1,FOS
ELK1,GRB2
ELK1,ID1
ELK1,ID2
ELK1,ID3
ELK1,MAP2K3
ELK1,MAPK1
ELK1,MAPK11
ELK1,MAPK8
ELK1,MOBKL3
ELK1,PIAS2
ELK1,SNCA
ELK1,UBE2I
ELK3,ID2
ELK3,TCF3
ELK4,FOS
ELK4,ID1
ELK4,ID2
ELK4,ID3
ELK4,MAPK11
ELK4,MAPK7
ELL,TP53
ELMO1,FGD1
ELMO1,HCK
ELMO1,RHOG
ELMO2,DOCK1
ELMO2,RHOG
ELMOD1,THG1L
ELN,DCN
ELN,ELANE
ELN,FBN2
ELN,LOXL1
ELOF1,JUN
ELP2,JAK1
ELP2,JAK2
ELP2,STAT1
ELP2,STAT3
ELP2,STAT5B
ELP3,SMAD1
ELP3,SMURF1
ELSPBP1,NEDD9
ELSPBP1,TAL1
EMCN,OSGEP
EMCN,SELL
EMD,ACTB
EMD,BEND7
EMD,COPS6
EMD,CREB3
EMD,CTNNBIP1
EMD,DPPA4
EMD,FATE1
EMD,LMNA
EMD,SH3GL2
EMD,SH3GL3
EME1,MUS81
EMG1,KHDRBS1
EMG1,NAT6
EMG1,SLC25A38
EMID2,EMID1
EMID2,SERPINH1
EMILIN1,MTMR9
EMILIN1,NMI
EMILIN2,EMILIN1
EML1,ISG20L2
EML3,YWHAG
EMP3,P2RX7
EMX2,EIF4E
EN1,JUN
EN1,PAX6
EN2,FOXA2
ENAH,ABI1
ENAH,ABI2
ENAH,ABI3
ENAH,ABL1
ENAH,BAIAP2
ENAH,DNMBP
ENAH,FAT1
ENAH,FYB
ENAH,GPHN
ENAH,PFN1
ENAH,ROBO4
ENAH,ZYX
ENC1,RB1
ENC1,TGFBR1
ENG,ACVR1
ENG,ACVR2A
ENG,BMP2
ENG,BMP7
ENGASE,ZP3
ENO1,AGTPBP1
ENO2,C16orf45
ENO2,C6orf47
ENO2,ENSA
ENO2,HABP4
ENO2,HK1
ENO2,HSF1
ENO2,IL17B
ENO2,MAP4
ENO2,NAT9
ENO2,NDUFS7
ENO2,SIGIRR
ENO2,SNUPN
ENO2,ST3GAL2
ENO2,TUBA4A
ENO2,UBE2C
ENOX1,EEF1G
ENOX1,LNX1
ENOX1,NIF3L1
ENOX1,SULT1E1
ENOX1,ZBTB16
ENOX2,ENOX1
ENOX2,MAGEA11
ENPEP,CCK
ENPP1,INSR
ENSA,ABCC8
ENSA,ARIH2
ENSA,KCTD15
ENTPD1,RANBP9
ENTPD5,PRKCA
ENTPD6,ATXN1
EP300,ABL1
EP300,ALX1
EP300,APEX1
EP300,BRCA1
EP300,CCND1
EP300,CDX2
EP300,CEBPB
EP300,CHD4
EP300,CITED1
EP300,COPS6
EP300,CREBBP
EP300,DDX24
EP300,DTX1
EP300,EGR1
EP300,ELK1
EP300,EMB
EP300,ESR1
EP300,ETS1
EP300,ETS2
EP300,ETV1
EP300,FEN1
EP300,GABPA
EP300,GATA5
EP300,GPBP1
EP300,HAND2
EP300,HERC1
EP300,HMGN1
EP300,HMGN2
EP300,HNF1A
EP300,HOXB4
EP300,ING1
EP300,ING2
EP300,IRF3
EP300,IRF7
EP300,JUN
EP300,KLF5
EP300,KPNA2
EP300,LEF1
EP300,MAF
EP300,MDC1
EP300,MDM2
EP300,MEF2A
EP300,MGMT
EP300,MN1
EP300,MPG
EP300,MSH6
EP300,MYB
EP300,MYBL2
EP300,MYOD1
EP300,NAP1L4
EP300,NCOA1
EP300,NCOA2
EP300,NCOA3
EP300,NEUROD1
EP300,NFATC2
EP300,NR4A1
EP300,NUP98
EP300,NUPR1
EP300,OLIG2
EP300,PAX6
EP300,PCNA
EP300,PIAS3
EP300,PML
EP300,POU3F2
EP300,PPARA
EP300,PPARD
EP300,PROX1
EP300,PTMA
EP300,RAD23A
EP300,RAD50
EP300,RAN
EP300,RELA
EP300,RORA
EP300,RUNX3
EP300,SET
EP300,SMAD1
EP300,SMAD2
EP300,SMAD3
EP300,SNW1
EP300,SOX9
EP300,SREBF2
EP300,SS18
EP300,STAT3
EP300,STAT5A
EP300,STAT5B
EP300,STAT6
EP300,SUB1
EP300,SUV39H1
EP300,TACC2
EP300,TAL1
EP300,TCF3
EP300,TDG
EP300,TFAP2A
EP300,TP53
EP300,TP53BP1
EP300,TP63
EP300,TP73
EP300,TSG101
EP300,TWIST1
EP300,USF2
EP300,YY1
EP300,ZBTB16
EP300,ZBTB17
EP300,ZFPM2
EP400,MYC
EP400,TRRAP
EPAS1,ARNT
EPAS1,ARNTL
EPAS1,EGLN1
EPAS1,EGLN2
EPAS1,EGLN3
EPAS1,EIF3E
EPAS1,EP300
EPAS1,MAX
EPAS1,VHL
EPB41,ACTA1
EPB41,APP
EPB41,C2CD2L
EPB41,CD44
EPB41,CRYAB
EPB41,DRD2
EPB41,DRD3
EPB41,GDI1
EPB41,GYPC
EPB41,MACROD1
EPB41,SEC14L1
EPB41,SLC4A1
EPB41,SMAD3
EPB41,TUBA4A
EPB41,YWHAB
EPB41,YWHAQ
EPB41L1,ARHGAP1
EPB41L1,DRD2
EPB41L1,DRD3
EPB41L1,GRIA1
EPB41L1,GRIA4
EPB41L1,ITPR1
EPB41L1,NUMA1
EPB41L1,YWHAB
EPB41L1,YWHAQ
EPB41L1,YWHAZ
EPB41L2,ACTA1
EPB41L2,ADORA1
EPB41L2,DRD1
EPB41L2,DRD3
EPB41L2,FKBP2
EPB41L2,GRIA1
EPB41L2,NUMA1
EPB41L2,SPTAN1
EPB41L3,CLNS1A
EPB41L3,CNTNAP2
EPB41L3,IGSF21
EPB41L3,MBIP
EPB41L3,YWHAB
EPB41L3,YWHAH
EPB41L3,YWHAQ
EPB42,ANK1
EPB42,EPB41
EPB42,EPB49
EPB49,ACTB
EPB49,ACTC1
EPB49,PROCR
EPB49,PTOV1
EPB49,SNRPD2
EPC1,E2F6
EPCAM,CLDN7
EPDR1,UBQLN4
EPHA1,SMURF2
EPHA2,CBL
EPHA2,CDH5
EPHA2,CLDN4
EPHA2,GRB2
EPHA2,PIK3R2
EPHA2,PTPN11
EPHA3,ADAM10
EPHA3,CRK
EPHA3,STAT3
EPHA4,EFNA1
EPHA4,EFNA3
EPHA4,EFNA4
EPHA4,EFNB2
EPHA4,FGFR1
EPHA4,FGFR2
EPHA4,FGFR3
EPHA4,FYN
EPHA5,EFNA1
EPHA6,EFNA1
EPHA6,EFNA4
EPHA7,EFNA3
EPHA7,EFNA4
EPHA7,MLLT4
EPHA8,EFNA1
EPHA8,FYN
EPHB1,EFNB1
EPHB1,EFNB2
EPHB1,GRB2
EPHB1,NCK1
EPHB1,PXN
EPHB2,ABL1
EPHB2,ABL2
EPHB2,AQP1
EPHB2,ARHGEF6
EPHB2,EFNB1
EPHB2,EFNB2
EPHB2,ERF
EPHB2,FOS
EPHB2,GRB2
EPHB2,KALRN
EPHB2,MLLT4
EPHB2,NCK1
EPHB2,PICK1
EPHB2,PTK2
EPHB2,RASA1
EPHB2,RRAS
EPHB2,RYK
EPHB2,SDC2
EPHB2,SDCBP
EPHB2,SRC
EPHB2,VAV2
EPHB3,CRK
EPHB3,FYN
EPHB3,MLLT4
EPHB3,RASA1
EPHB3,RYK
EPHB4,SDC3
EPHB6,CBL
EPHB6,CRK
EPHB6,CRKL
EPHB6,EFNB2
EPHB6,EPHB1
EPHB6,GRB2
EPHB6,HDHD2
EPHB6,MLLT4
EPHX2,NIPSNAP3A
EPM2AIP1,EPM2A
EPN1,AP2A1
EPN1,AP2A2
EPN1,CLTC
EPN1,KIAA1377
EPN1,MED31
EPN1,REPS2
EPN2,CLTC
EPN2,TFAP2A
EPOR,CBL
EPOR,EPO
EPOR,GAB1
EPOR,GRB2
EPOR,INPP5D
EPOR,MST1R
EPOR,PLCG1
EPOR,PLCG2
EPOR,SH2B2
EPOR,STAT5B
EPPK1,EGFR
EPR1,F10
EPR1,F5
EPRS,RARS
EPRS,SYNCRIP
EPRS,TH1L
EPS15,AGFG1
EPS15,AP2A1
EPS15,AP2A2
EPS15,CRK
EPS15,DNM1
EPS15,DNM2
EPS15,ELF3
EPS15,EPN1
EPS15,EPN2
EPS15,HGS
EPS15,ITSN1
EPS15,NEDD4
EPS15,NUMB
EPS15,REPS2
EPS15,SNAP91
EPS15,STAM2
EPS15,STAMBP
EPS8,ACTA1
EPS8,AIMP2
EPS8,CCDC85B
EPS8,DNALI1
EPS8,EGFR
EPS8,HOOK2
EPS8,ITGB1
EPS8,ITGB3
EPS8,ITGB5
EPS8,MRPL20
EPS8,MYO15A
EPS8,PCM1
EPS8,PLDN
EPS8,SRC
EPS8L1,ABI1
ERAP1,IL6R
ERAP1,TNFRSF1A
ERAS,PIK3R1
ERBB2,CTNNB1
ERBB2,EGF
ERBB2,GRB2
ERBB2,HLA-A
ERBB2,HSP90AA1
ERBB2,ITGB4
ERBB2,JAK2
ERBB2,MUC1
ERBB2,PIK3C2A
ERBB2,PIK3C2B
ERBB2,PTPN11
ERBB2,SERPINA3
ERBB2,SH3BGRL3
ERBB2IP,ARVCF
ERBB2IP,CDH1
ERBB2IP,CTNND1
ERBB2IP,DLG4
ERBB2IP,DST
ERBB2IP,ERBB2
ERBB2IP,ITGB4
ERBB2IP,NOD2
ERBB2IP,PKP4
ERBB2IP,SHOC2
ERBB2IP,SMAD2
ERBB2IP,SMAD3
ERBB2IP,SMAD4
ERBB2IP,SMAD7
ERBB2IP,ZFYVE9
ERBB3,EGF
ERBB3,EGFR
ERBB3,ERBB2
ERBB3,FLNA
ERBB3,FLYWCH1
ERBB3,GRB2
ERBB3,MUC1
ERBB3,NRG1
ERBB3,ODF2L
ERBB3,PIK3R1
ERBB3,PIK3R2
ERBB3,RASA4
ERBB3,RNF41
ERBB3,SOS1
ERBB4,BTC
ERBB4,CD44
ERBB4,CRK
ERBB4,CTGF
ERBB4,DLG3
ERBB4,ERBB2
ERBB4,ERBB3
ERBB4,GRB2
ERBB4,HBEGF
ERBB4,MUC1
ERBB4,NRG1
ERBB4,PIK3R2
ERBB4,SHC1
ERBB4,SNTB2
ERBB4,STAT5B
ERC1,RAB6A
ERC1,YWHAG
ERC2,PCLO
ERC2,PPFIA2
ERC2,PPFIA3
ERC2,RIMS1
ERCC1,UBL7
ERCC2,CDK1
ERCC2,RAD51
ERCC3,ERCC2
ERCC4,ERCC1
ERCC5,ERCC2
ERCC5,EWSR1
ERCC5,GTF2H4
ERCC5,POLR2A
ERCC6,ERCC5
ERCC6,ERCC8
ERCC6,PARP1
ERCC8,DDB1
ERCC8,GTF2H2
ERCC8,UQCRQ
EREG,EGFR
EREG,ERBB4
ERF,CSNK1A1
ERF,HMGB1
ERG,ETS2
ERG,JUN
ERGIC3,ERGIC1
ERH,C7orf64
ERH,COPS6
ERH,IGSF21
ERH,MED31
ERH,SH3GL2
ERI3,PRNP
ERMAP,VASP
ERN1,COPS5
ERN1,HSP90AA1
ERN1,HSPA5
ERN1,MAP3K5
ERN1,PSEN1
ERN1,TNFRSF1A
ERN1,TRAF2
ERO1L,ERP44
ERO1L,P4HB
ERO1LB,ERP44
ERO1LB,P4HB
ERP27,PDIA3
ERP29,HSPA5
ERP29,UBQLN4
ERRFI1,CDC42
ERRFI1,EGFR
ERRFI1,ERBB2
ERVWE1,SLC1A4
ERVWE1,SLC1A5
ESM1,ITGB2
ESPN,BAIAP2
ESR1,ARHGEF15
ESR1,BCAR1
ESR1,BDNF
