TF,Target
AR,ASIP
AR,ASNA1
AR,ASPH
AR,ASS1
AR,ASTN1
AR,ZFHX3
AR,ATF3
AR,ATF4
AR,RERE
AR,ATOX1
AR,ATP1A1
AR,ATP1A2
AR,ATP1A4
AR,ATP1B1
AR,ATP1B3
AR,ATP2A2
AR,ATP2B2
AR,ATP2B4
AR,ATP5D
AR,ATP5E
AR,ATP5F1
AR,ATP6V1A
AR,ATP6V1B2
AR,ATP6V0B
AR,ATP6V0A1
AR,ATP5O
AR,ATR
AR,AUH
AR,AXL
AR,B2M
AR,BACH1
AR,BAI2
AR,BCAT1
AR,BCKDHB
AR,BCL2
AR,BCL2L1
AR,BCL3
AR,BCL6
AR,BCL9
AR,HCN2
AR,BCR
AR,BDH1
AR,BDKRB1
AR,BDKRB2
AR,BDNF
AR,BFSP1
AR,BICD1
AR,BID
AR,PRDM1
AR,BLK
AR,BLM
AR,BNC1
AR,BMP1
AR,BMP6
AR,BMP7
AR,BMP8B
AR,BMPR1A
AR,BMPR1B
AR,BMPR2
AR,BNIP3L
AR,DST
AR,BPGM
AR,BPHL
AR,ZFP36L1
AR,ZFP36L2
AR,BTC
AR,BTD
AR,KLF9
AR,KLF5
AR,BTG1
AR,BYSL
AR,C3orf51
AR,C1R
AR,C1S
AR,C4BPA
AR,DAGLA
AR,C16orf3
AR,PTTG1IP
AR,TMEM50B
AR,CA5A
AR,CA9
AR,CA12
AR,CACNA1A
AR,CACNA1C
AR,CACNA1D
AR,SLC25A20
AR,CAD
AR,S100G
AR,CALD1
AR,CALM1
AR,CALM2
AR,CALR
AR,CALU
AR,CAMK2B
AR,CAMK2D
AR,CAMLG
AR,CAPG
AR,CAPN2
AR,CAPN3
AR,CAPZA1
AR,CAST
AR,CAPZB
AR,CASP2
AR,CASP3
AR,CASQ1
AR,CAV1
AR,CAV2
AR,CAV3
AR,RUNX2
AR,RUNX1
AR,RUNX1T1
AR,CBFB
AR,CBLB
AR,CCIN
AR,CCBL1
AR,CCK
AR,CCNA2
AR,CCNG2
AR,CCNH
AR,CD8B
AR,CD28
AR,TNFRSF8
AR,TNFSF8
AR,CD34
AR,SCARB2
AR,CD44
AR,CD58
AR,CD59
AR,CD63
AR,CD97
AR,CDA
AR,LRBA
AR,CDC5L
AR,CDC6
AR,CDC20
AR,CDC25B
AR,CDC27
AR,CDC42
AR,CDH1
AR,CDH2
AR,CDH3
AR,CDH4
AR,CDH8
AR,CDH11
AR,CDH13
AR,CDH16
AR,CDK5
AR,CDK6
AR,CDKN1A
AR,CDKN1B
AR,CDKN2B
AR,CDKN2C
AR,CEBPA
AR,CEBPD
AR,CEBPG
AR,CEL
AR,CENPC1
AR,CENPE
AR,CENPF
AR,CFL1
AR,CFL2
AR,CTSC
AR,CGB
AR,RCC1
AR,CHD2
AR,CHD3
AR,FOXN3
AR,CHI3L1
AR,CHI3L2
AR,CHIT1
AR,CHML
AR,CHN1
AR,CHN2
AR,LYST
AR,CHRM5
AR,CHRNA1
AR,CHRNB1
AR,CHRNB3
AR,CHRND
AR,CHRNG
AR,CKS1B
AR,CKS2
AR,CLCN3
AR,CLCN4
AR,CLIC1
AR,CLK1
AR,CLTA
AR,CLTC
AR,CCR7
AR,CMKLR1
AR,ABCC2
AR,CNGB1
AR,CNGA1
AR,CNGA3
AR,CNN2
AR,CNN3
AR,CNR2
AR,CNTF
AR,COL1A2
AR,COL3A1
AR,COL4A1
AR,COL4A2
AR,COL4A3
AR,COL4A4
AR,COL4A6
AR,COL5A1
AR,COL5A2
AR,COL6A3
AR,COL8A1
AR,COL8A2
AR,COL9A1
AR,COL10A1
AR,COL11A1
AR,COL12A1
AR,COL13A1
AR,COL15A1
AR,COL16A1
AR,COL19A1
AR,COPA
AR,KLF6
AR,SLC31A1
AR,SLC31A2
AR,MAP3K8
AR,COX5B
AR,COX10
AR,COX11
AR,CP
AR,CPA1
AR,CPA2
AR,CPA3
AR,CPM
AR,CPS1
AR,CREB1
AR,ATF2
AR,CREBBP
AR,ATF6B
AR,CRK
AR,CRYBA1
AR,CRYBB1
AR,CRYZ
AR,CS
AR,MAPK14
AR,CSF1
AR,CSF3
AR,CSK
AR,CSNK1D
AR,CSNK2B
AR,VCAN
AR,CSRP1
AR,CSRP2
AR,SLC25A10
AR,CST3
AR,CTBP1
AR,CTBP2
AR,CTGF
AR,CTNNA1
AR,CTNNA2
AR,CTNNB1
AR,CTNND1
AR,CTSB
AR,CTSK
AR,CTSO
AR,CTSS
AR,CTSW
AR,CUX1
AR,CX3CR1
AR,CYB5A
AR,CYP3A5
AR,CYP19A1
AR,CYP27A1
AR,DAB1
AR,DAB2
AR,DAG1
AR,DGKB
AR,DGKG
AR,DAP
AR,DAPK1
AR,DARS
AR,DAZL
AR,DBI
AR,DBT
AR,DCN
AR,ACE
AR,DDB1
AR,DDC
AR,GADD45A
AR,DDX3X
AR,DDX10
AR,DHX15
AR,DECR1
AR,DEFB1
AR,DES
AR,DFNA5
AR,DGUOK
AR,CYB5R3
AR,DIAPH1
AR,DIAPH2
AR,DIO1
AR,DIO2
AR,DLG1
AR,DLG3
AR,DLX1
AR,DMD
AR,DNAH5
AR,DNASE1L1
AR,DYNC1H1
AR,DYNC1I1
AR,DYNC1LI2
AR,DNMT1
AR,TRDMT1
AR,DNMT3A
AR,DOCK1
AR,DOCK2
AR,DOCK3
AR,DOK1
AR,DPH2
AR,DPP4
AR,DPT
AR,DPYD
AR,DPYSL2
AR,DPYSL3
AR,DR1
AR,DRD4
AR,DRP2
AR,RCAN1
AR,TSC22D3
AR,DSP
AR,DTNA
AR,DTNB
AR,HBEGF
AR,DTYMK
AR,ECM2
AR,DUSP1
AR,DUSP3
AR,DUSP5
AR,DYRK1A
AR,E2F2
AR,E2F3
AR,E2F5
AR,EBF1
AR,GPR183
AR,ECT2
AR,S1PR1
AR,LPAR1
AR,EDN1
AR,EDNRA
AR,PHC2
AR,EEF1A1
AR,EEF1G
AR,EIF2D
AR,EFNA5
AR,EFNB2
AR,EGF
AR,MEGF9
AR,EGFR
AR,EPHA2
AR,EIF4A2
AR,EIF4B
AR,EIF4E
AR,EIF4EBP2
AR,EIF4G1
AR,EIF4G2
AR,SERPINB1
AR,ELAVL2
AR,ELF2
AR,ELK3
AR,ELN
AR,EMD
AR,EMP1
AR,EMP2
AR,ENG
AR,ENO1
AR,ENPEP
AR,ENSA
AR,EPAS1
AR,EPB41L2
AR,STOM
AR,EPHA4
AR,EPHA5
AR,EPHA8
AR,EPHB2
AR,EPOR
AR,EPS8
AR,EPS15
AR,ERBB4
AR,ERCC1
AR,ERCC2
