mir,gene
hsa-miR-155-5p,APAF1
hsa-miR-21-5p,APAF1
hsa-miR-221-3p,APAF1
hsa-miR-23a-3p,APAF1
hsa-miR-106b-5p,APC
hsa-miR-129-5p,APC
hsa-miR-135a-5p,APC
hsa-miR-135b-5p,APC
hsa-miR-142-3p,APC
hsa-miR-155-5p,APC
hsa-miR-27a-3p,APC
hsa-miR-663a,APC
hsa-miR-145-5p,APH1A
hsa-miR-1-3p,API5
hsa-miR-224-5p,API5
hsa-miR-485-5p,APOA5
hsa-miR-1908-5p,APOE
hsa-miR-199a-3p,APOE
hsa-miR-199a-5p,APOE
hsa-miR-101-3p,APP
hsa-miR-106a-5p,APP
hsa-miR-106b-5p,APP
hsa-miR-17-5p,APP
hsa-miR-20a-5p,APP
hsa-miR-520c-3p,APP
hsa-miR-320a,AQP1
hsa-miR-185-5p,AQP3
hsa-miR-874-3p,AQP3
hsa-miR-320a,AQP4
hsa-miR-124-3p,AR
hsa-miR-185-5p,AR
hsa-miR-205-5p,AR
hsa-miR-34a-5p,AR
hsa-miR-488-5p,AR
hsa-miR-185-5p,ARC
hsa-miR-200a-3p,AREG
hsa-miR-320a,ARF1
hsa-miR-199a-5p,ARHGAP12
hsa-miR-20a-5p,ARHGAP12
hsa-miR-24-3p,ARHGAP19
hsa-miR-573,ARHGAP26
hsa-miR-132-3p,ARHGAP32
hsa-miR-486-5p,ARHGAP5
hsa-miR-494-3p,ARHGAP5
hsa-miR-151a-5p,ARHGDIA
hsa-miR-34a-5p,ARHGDIB
hsa-miR-503-5p,ARHGEF19
hsa-miR-31-5p,ARID1A
hsa-miR-155-5p,ARID2
hsa-miR-125b-5p,ARID3A
hsa-miR-125a-5p,ARID3B
hsa-miR-125b-5p,ARID3B
hsa-miR-106a-5p,ARID4B
hsa-miR-20b-5p,ARID4B
hsa-miR-223-3p,Arid4b
hsa-miR-155-5p,ARL15
hsa-miR-16-5p,ARL2
hsa-miR-195-5p,ARL2
hsa-miR-26a-5p,ARL4C
hsa-miR-26b-5p,ARL4C
hsa-miR-202-3p,ARL5A
hsa-miR-145-5p,ARL6IP5
hsa-miR-155-5p,ARMC2
hsa-miR-107,ARNT
hsa-miR-221-3p,ARNT
hsa-miR-142-3p,ARNTL
hsa-miR-155-5p,Arntl
hsa-miR-494-3p,ARNTL
hsa-miR-133a-3p,ARPC5
hsa-miR-22-3p,ARPC5
hsa-miR-525-3p,ARRB1
hsa-miR-223-3p,ARTN
hsa-miR-203a-3p,ASAP1
hsa-let-7i-5p,ASCL1
hsa-miR-214-3p,ASF1B
hsa-miR-1-3p,ASPH
hsa-miR-221-3p,ASZ1
hsa-miR-372-3p,ATAD2
hsa-miR-23a-3p,ATAT1
hsa-miR-182-5p,ATF1
hsa-miR-494-3p,ATF3
hsa-miR-214-3p,ATF4
hsa-miR-199a-5p,ATF6
hsa-miR-424-5p,ATF6
hsa-miR-503-5p,ATF6
hsa-miR-23b-3p,ATG12
hsa-miR-30b-5p,ATG12
hsa-miR-30d-5p,ATG12
hsa-miR-195-5p,ATG14
hsa-miR-106b-5p,ATG16L1
hsa-miR-93-5p,ATG16L1
hsa-miR-130a-3p,ATG2B
hsa-miR-30d-5p,ATG2B
hsa-miR-376a-3p,ATG4C
hsa-miR-376b-3p,ATG4C
hsa-miR-101-3p,ATG4D
hsa-miR-181a-5p,ATG5
hsa-miR-30d-5p,ATG5
hsa-miR-100-5p,ATM
hsa-miR-101-3p,ATM
hsa-miR-106a-5p,ATM
hsa-miR-181a-5p,ATM
hsa-miR-181b-5p,ATM
hsa-miR-18a-5p,ATM
hsa-miR-203a-3p,ATM
hsa-miR-223-3p,ATM
hsa-miR-26a-5p,ATM
hsa-miR-374a-5p,ATM
hsa-miR-421,ATM
hsa-miR-122-5p,ATP1A2
hsa-miR-192-5p,ATP1B1
hsa-miR-25-3p,ATP2A2
hsa-miR-1289,ATP4A
hsa-miR-101-3p,ATP5B
hsa-miR-1-3p,ATP6V1B2
hsa-miR-495-3p,ATP7A
hsa-miR-185-5p,ATR
hsa-miR-200a-3p,ATRX
hsa-miR-200c-3p,ATRX
hsa-miR-101-3p,ATXN1
hsa-miR-130a-3p,ATXN1
hsa-miR-19a-3p,ATXN1
hsa-miR-19b-3p,ATXN1
hsa-let-7a-5p,AURKB
hsa-let-7e-5p,AURKB
hsa-miR-24-3p,AURKB
hsa-miR-30a-5p,AVEN
hsa-miR-107,AXIN2
hsa-miR-15b-5p,AXIN2
hsa-miR-16-5p,AXIN2
hsa-miR-34a-3p,AXIN2
hsa-miR-34a-5p,AXIN2
hsa-miR-34b-5p,AXIN2
hsa-miR-34c-3p,AXIN2
hsa-miR-122-5p,AXL
hsa-miR-34a-5p,AXL
hsa-miR-433-3p,AZIN1
hsa-miR-107,BACE1
hsa-miR-195-5p,Bace1
hsa-miR-298,BACE1
hsa-miR-29a-3p,BACE1
hsa-miR-29b-3p,BACE1
hsa-miR-29c-3p,BACE1
hsa-miR-328-3p,BACE1
hsa-miR-339-5p,BACE1
hsa-miR-9-5p,BACE1
hsa-miR-155-5p,BACH1
hsa-miR-196a-5p,BACH1
hsa-miR-28-5p,BAG1
hsa-miR-494-3p,BAG1
hsa-miR-26a-5p,BAG4
hsa-miR-125a-5p,BAK1
hsa-miR-125b-5p,BAK1
hsa-miR-20a-5p,BAMBI
hsa-miR-20b-5p,BAMBI
hsa-miR-320a,BANP
hsa-miR-141-3p,BAP1
hsa-miR-200a-3p,BAP1
hsa-miR-200b-3p,BAP1
hsa-miR-200c-3p,BAP1
hsa-miR-429,BAP1
hsa-miR-182-5p,BARD1
