mir,gene
hsa-miR-199a-3p,CD44
hsa-miR-199a-5p,CD44
hsa-miR-216a-5p,CD44
hsa-miR-328-3p,CD44
hsa-miR-330-3p,CD44
hsa-miR-34a-5p,CD44
hsa-miR-373-3p,CD44
hsa-miR-520c-3p,CD44
hsa-miR-608,CD44
hsa-miR-708-5p,CD44
hsa-miR-520b,CD46
hsa-miR-520e,CD46
hsa-miR-155-5p,CD68
hsa-miR-197-3p,CD82
hsa-miR-362-3p,CD82
hsa-miR-196b-5p,CD8A
hsa-miR-326,CD9
hsa-miR-29a-3p,CD93
hsa-miR-126-3p,CD97
hsa-miR-30a-5p,CD99
hsa-miR-424-5p,CDC14A
hsa-miR-503-5p,CDC14A
hsa-let-7b-5p,CDC25A
hsa-miR-141-3p,CDC25A
hsa-miR-15a-5p,CDC25A
hsa-miR-195-5p,CDC25A
hsa-miR-21-5p,CDC25A
hsa-miR-365a-3p,CDC25A
hsa-miR-424-5p,CDC25A
hsa-miR-449a,CDC25A
hsa-miR-449b-5p,CDC25A
hsa-miR-497-5p,CDC25A
hsa-miR-503-5p,CDC25A
hsa-miR-148a-3p,CDC25B
hsa-miR-141-3p,CDC25C
hsa-miR-223-3p,CDC27
hsa-let-7a-5p,CDC34
hsa-let-7b-5p,CDC34
hsa-miR-133a-3p,CDC42
hsa-miR-133b,CDC42
hsa-miR-137,CDC42
hsa-miR-185-5p,CDC42
hsa-miR-195-5p,CDC42
hsa-miR-204-5p,CDC42
hsa-miR-216a-5p,CDC42
hsa-miR-224-5p,CDC42
hsa-miR-29a-3p,CDC42
hsa-miR-29b-3p,CDC42
hsa-miR-29c-3p,CDC42
hsa-miR-330-3p,CDC42
hsa-miR-608,CDC42
hsa-miR-675-5p,CDC6
hsa-miR-886-3p,CDC6
hsa-miR-192-5p,CDC7
hsa-miR-29a-3p,CDC7
hsa-miR-138-5p,CDH1
hsa-miR-199a-5p,CDH1
hsa-miR-204-5p,CDH1
hsa-miR-23a-3p,CDH1
hsa-miR-25-3p,CDH1
hsa-miR-30a-5p,CDH1
hsa-miR-544a,CDH1
hsa-miR-888-5p,CDH1
hsa-miR-92a-3p,CDH1
hsa-miR-9-5p,CDH1
hsa-miR-200c-3p,CDH11
hsa-miR-145-5p,CDH2
hsa-miR-194-5p,CDH2
hsa-miR-199a-5p,CDH2
hsa-miR-218-5p,CDH2
hsa-miR-101-3p,CDH5
hsa-miR-125b-5p,CDH5
hsa-miR-211-5p,CDH5
hsa-miR-24-3p,CDK1
hsa-miR-302a-3p,CDK1
hsa-miR-31-5p,CDK1
hsa-miR-663a,CDK1
hsa-miR-133b,CDK13
hsa-miR-18a-5p,CDK19
hsa-miR-103a-3p,CDK2
hsa-miR-124-3p,CDK2
hsa-miR-223-3p,CDK2
hsa-miR-29a-3p,CDK2
hsa-miR-302a-3p,CDK2
hsa-miR-302d-3p,CDK2
hsa-miR-372-3p,CDK2
hsa-miR-376a-3p,CDK2
hsa-miR-524-5p,CDK2
hsa-miR-885-5p,CDK2
hsa-miR-21-5p,CDK2AP1
hsa-miR-122-5p,CDK4
hsa-miR-124-3p,CDK4
hsa-miR-145-5p,CDK4
hsa-miR-195-5p,CDK4
hsa-miR-206,CDK4
hsa-miR-24-3p,CDK4
hsa-miR-29a-3p,CDK4
hsa-miR-302a-3p,CDK4
hsa-miR-34a-5p,CDK4
hsa-miR-34b-3p,CDK4
hsa-miR-34b-5p,CDK4
hsa-miR-34c-5p,CDK4
hsa-miR-449a,CDK4
hsa-miR-483-3p,CDK4
hsa-miR-497-5p,CDK4
hsa-miR-506-3p,CDK4
hsa-miR-545-3p,CDK4
hsa-let-7a-5p,CDK6
hsa-let-7b-5p,CDK6
hsa-miR-105-5p,CDK6
hsa-miR-107,CDK6
hsa-miR-124-3p,CDK6
hsa-miR-129-2-3p,CDK6
hsa-miR-129-5p,CDK6
hsa-miR-137,CDK6
hsa-miR-145-5p,CDK6
hsa-miR-16-5p,CDK6
hsa-miR-185-5p,CDK6
hsa-miR-191-5p,CDK6
hsa-miR-195-5p,CDK6
hsa-miR-200a-3p,CDK6
hsa-miR-203a-3p,CDK6
hsa-miR-214-3p,CDK6
hsa-miR-218-5p,CDK6
hsa-miR-26a-5p,CDK6
hsa-miR-26b-5p,CDK6
hsa-miR-29a-3p,CDK6
hsa-miR-29b-3p,CDK6
hsa-miR-29c-3p,CDK6
hsa-miR-30a-3p,CDK6
hsa-miR-34a-5p,CDK6
hsa-miR-34b-3p,CDK6
hsa-miR-34b-5p,CDK6
hsa-miR-378a-3p,CDK6
hsa-miR-424-5p,CDK6
hsa-miR-449a,CDK6
hsa-miR-449b-5p,CDK6
hsa-miR-494-3p,CDK6
hsa-miR-506-3p,CDK6
hsa-miR-107,CDK8
hsa-miR-874-3p,CDK9
hsa-let-7a-5p,CDKN1A
hsa-miR-106a-5p,CDKN1A
hsa-miR-106b-5p,CDKN1A
hsa-miR-10b-5p,CDKN1A
hsa-miR-125a-5p,CDKN1A
hsa-miR-132-3p,CDKN1A
hsa-miR-17-5p,CDKN1A
hsa-miR-208a-3p,CDKN1A
hsa-miR-208b-3p,CDKN1A
hsa-miR-20a-5p,CDKN1A
hsa-miR-20b-5p,CDKN1A
hsa-miR-22-3p,CDKN1A
hsa-miR-28-5p,CDKN1A
hsa-miR-298,CDKN1A
hsa-miR-299-5p,CDKN1A
hsa-miR-302a-3p,CDKN1A
hsa-miR-345-5p,CDKN1A
hsa-miR-363-3p,CDKN1A
hsa-miR-372-3p,CDKN1A
hsa-miR-423-3p,CDKN1A
hsa-miR-503-5p,CDKN1A
hsa-miR-515-3p,CDKN1A
hsa-miR-519a-3p,CDKN1A
hsa-miR-519b-3p,CDKN1A
hsa-miR-519c-3p,CDKN1A
hsa-miR-519d-3p,CDKN1A
hsa-miR-519e-3p,CDKN1A
hsa-miR-520a-3p,CDKN1A
hsa-miR-520b,CDKN1A
hsa-miR-520h,CDKN1A
hsa-miR-572,CDKN1A
hsa-miR-639,CDKN1A
hsa-miR-654-3p,CDKN1A
hsa-miR-657,CDKN1A
hsa-miR-93-5p,CDKN1A
hsa-miR-96-5p,CDKN1A
hsa-miR-128b,CDKN1B
hsa-miR-148a-3p,CDKN1B
hsa-miR-181a-5p,CDKN1B
hsa-miR-182-5p,CDKN1B
hsa-miR-194-5p,CDKN1B
hsa-miR-196a-5p,CDKN1B
hsa-miR-200b-3p,CDKN1B
hsa-miR-221-3p,CDKN1B
hsa-miR-222-3p,CDKN1B
hsa-miR-24-3p,CDKN1B
hsa-miR-452-5p,CDKN1B
hsa-miR-221-3p,CDKN1C
hsa-miR-222-3p,CDKN1C
hsa-miR-25-3p,CDKN1C
hsa-miR-92b-3p,CDKN1C
hsa-let-7g-5p,CDKN2A
hsa-miR-10b-5p,CDKN2A
hsa-miR-125b-5p,CDKN2A
hsa-miR-24-3p,CDKN2A
hsa-miR-34a-5p,CDKN2C
hsa-miR-671-5p,CDR1
hsa-miR-16-5p,CDS2
hsa-miR-296-5p,CDX1
hsa-miR-181a-5p,CDX2
hsa-miR-181b-5p,CDX2
hsa-miR-181c-5p,CDX2
hsa-miR-424-5p,CDX2
hsa-miR-9-5p,CDX2
hsa-miR-141-3p,CDYL
hsa-miR-29a-3p,CEACAM6
hsa-miR-124-3p,CEBPA
hsa-miR-1-3p,CEBPA
hsa-let-7c-5p,CEBPB
hsa-miR-155-5p,Cebpb
hsa-miR-191-5p,CEBPB
hsa-miR-374a-5p,CEBPB
hsa-miR-23a-3p,Celf1
hsa-miR-95-3p,CELF2
hsa-miR-145-5p,CEP19
hsa-miR-155-5p,CEP41
hsa-miR-221-3p,CERS2
hsa-miR-222-3p,CERS2
hsa-miR-146a-5p,CFH
hsa-miR-200c-3p,CFL2
hsa-miR-101-3p,CFTR
hsa-miR-144-3p,CFTR
hsa-miR-145-5p,CFTR
hsa-miR-223-3p,CFTR
hsa-miR-433-3p,CFTR
hsa-miR-494-3p,CFTR
hsa-miR-509-3p,CFTR
hsa-miR-26a-5p,CHD1
hsa-miR-16-5p,CHEK1
hsa-miR-24-3p,CHEK1
hsa-miR-26a-5p,CHEK1
hsa-miR-424-5p,CHEK1
hsa-miR-497-5p,CHEK1
hsa-miR-503-5p,CHEK1
hsa-miR-182-5p,CHEK2
hsa-miR-10a-5p,CHL1
hsa-miR-182-5p,CHL1
hsa-miR-590-5p,CHL1
hsa-miR-9-5p,CHMP2B
hsa-miR-26b-5p,CHORDC1
hsa-miR-107,CHRM1
hsa-miR-15a-5p,CHUK
hsa-miR-16-5p,CHUK
hsa-miR-195-5p,CHUK
hsa-miR-223-3p,CHUK
hsa-miR-23b-3p,CHUK
hsa-miR-155-5p,CIAPIN1
hsa-miR-150-5p,CISH
hsa-miR-155-5p,CKAP5
hsa-miR-26a-5p,CKS2
hsa-miR-15a-5p,CLCN3
hsa-miR-155-5p,CLDN1
hsa-miR-1303,CLDN18
hsa-miR-125a-5p,CLEC5A
hsa-miR-122-5p,CLIC4
hsa-miR-145-5p,CLINT1
hsa-miR-124-3p,CLOCK
hsa-miR-141-3p,CLOCK
hsa-miR-182-5p,CLOCK
hsa-miR-17-5p,CLU
hsa-miR-21-5p,CLU
hsa-miR-155-5p,CLUAP1
hsa-miR-1-3p,CNN3
hsa-miR-146a-5p,CNOT6L
hsa-miR-665,CNR2
hsa-miR-708-5p,CNTFR
hsa-miR-29a-3p,COL10A1
hsa-miR-29b-3p,COL10A1
hsa-miR-29c-3p,COL10A1
hsa-miR-767-5p,COL10A1
hsa-miR-29c-3p,COL15A1
hsa-miR-181a-5p,COL16A1
hsa-miR-133a-3p,COL1A1
hsa-miR-29b-3p,COL1A1
hsa-miR-29c-3p,COL1A1
hsa-let-7g-5p,COL1A2
hsa-miR-29c-3p,COL1A2
hsa-miR-29c-3p,COL21A1
hsa-let-7b-5p,COL3A1
hsa-miR-143-3p,COL3A1
hsa-miR-29a-3p,COL3A1
hsa-miR-29b-3p,COL3A1
hsa-miR-29c-3p,COL3A1
hsa-miR-767-5p,COL3A1
hsa-miR-21-5p,COL4A1
hsa-miR-29a-3p,COL4A1
hsa-miR-29b-3p,COL4A1
hsa-miR-29c-3p,COL4A1
hsa-miR-767-5p,COL4A1
hsa-miR-147b,COL4A2
hsa-miR-210-3p,COL4A2
hsa-miR-29a-3p,COL4A2
hsa-miR-29b-3p,COL4A2
hsa-miR-29c-3p,COL4A2
hsa-miR-767-5p,COL4A2
hsa-miR-150-5p,COL4A4
hsa-miR-145-5p,COL5A1
hsa-miR-29a-3p,COL5A2
hsa-miR-29b-3p,COL5A2
hsa-miR-29c-3p,COL5A2
hsa-miR-767-5p,COL5A2
hsa-miR-29b-3p,COL5A3
hsa-miR-29c-3p,COL7A1
hsa-let-7c-5p,COPS6
hsa-let-7e-3p,COPS6
hsa-let-7f-5p,COPS6
hsa-let-7i-5p,COPS6
hsa-let-7c-5p,COPS8
hsa-let-7e-3p,COPS8
hsa-let-7f-5p,COPS8
hsa-let-7i-5p,COPS8
hsa-miR-146a-5p,COPS8
hsa-miR-221-3p,CORO1A
hsa-miR-222-3p,CORO1A
hsa-miR-24-3p,CORO1A
hsa-miR-1-3p,COX1
hsa-miR-101-3p,COX2
hsa-miR-137,COX2
hsa-miR-143-5p,COX2
hsa-miR-146a-5p,COX2
hsa-let-7b-5p,CPEB1
hsa-miR-101-3p,CPEB1
hsa-miR-210-3p,CPEB2
hsa-miR-26a-5p,CPEB2
hsa-miR-92a-3p,CPEB2
hsa-let-7b-5p,CPEB3
hsa-miR-26a-5p,CPEB3
hsa-miR-29a-3p,CPEB3
hsa-miR-26a-5p,CPEB4
hsa-miR-29a-3p,CPEB4
hsa-miR-550a-5p,CPEB4
hsa-miR-133b,CPNE3
hsa-miR-451a,CPNE3
hsa-miR-370-3p,CPT1A
hsa-miR-103a-3p,CREB1
hsa-miR-181b-5p,CREB1
hsa-miR-182-5p,CREB1
hsa-miR-200b-3p,CREB1
hsa-miR-203a-3p,CREB1
hsa-miR-27b-3p,CREB1
hsa-miR-33b-5p,CREB1
hsa-miR-34b-3p,CREB1
hsa-miR-34b-5p,CREB1
hsa-miR-9-5p,CREB1
hsa-miR-182-5p,CREB5
hsa-miR-204-5p,CREB5
hsa-miR-211-5p,CREB5
hsa-miR-324-3p,CREBBP
hsa-miR-221-3p,CREBZF
hsa-miR-31-5p,CREG1
hsa-miR-20a-5p,CRIM1
hsa-miR-20b-5p,CRIM1
hsa-miR-126-3p,CRK
hsa-miR-132-3p,CRK
hsa-miR-126-3p,CRKL
hsa-miR-15a-5p,CRKL
hsa-miR-33a-5p,CROT
hsa-miR-137,CSE1L
hsa-miR-128-3p,CSF1
hsa-miR-130a-3p,CSF1
hsa-miR-130b-3p,CSF1
hsa-miR-148b-3p,CSF1
hsa-miR-152-3p,CSF1
hsa-miR-155-5p,Csf1r
hsa-miR-22-3p,CSF1R
hsa-miR-34a-5p,CSF1R
hsa-miR-155-5p,CSNK1A1
hsa-miR-125b-5p,CSNK2A1
hsa-miR-186-5p,CSNK2A1
hsa-miR-216b-5p,CSNK2A1
hsa-miR-337-3p,CSNK2A1
hsa-miR-760,CSNK2A1
hsa-miR-1228-3p,CSNK2A2
hsa-miR-137,CTBP1
hsa-miR-141-3p,CTBP2
hsa-miR-221-3p,CTCF
hsa-miR-124-3p,CTDSP1
hsa-miR-191-5p,CTDSP2
hsa-miR-100-5p,CTDSPL
hsa-miR-99a-5p,CTDSPL
hsa-miR-124-3p,CTGF
hsa-miR-133b,CTGF
hsa-miR-145-5p,CTGF
hsa-miR-18a-5p,CTGF
hsa-miR-18b-5p,CTGF
hsa-miR-205-5p,CTGF
hsa-let-7b-5p,CTHRC1
hsa-miR-1826,CTNNB1
hsa-miR-200a-3p,CTNNB1
hsa-miR-214-3p,CTNNB1
hsa-miR-34a-3p,CTNNB1
hsa-miR-34b-5p,CTNNB1
hsa-miR-34c-3p,CTNNB1
hsa-miR-215-5p,CTNNBIP1
hsa-miR-29b-3p,CTNNBIP1
hsa-miR-145-5p,CTNND1
hsa-miR-29c-3p,CTNND1
hsa-miR-199a-5p,CTSC
hsa-miR-29c-3p,Ctsk
hsa-miR-424-5p,CUL2
hsa-miR-574-3p,CUL2
hsa-miR-192-5p,CUL5
hsa-miR-19a-3p,CUL5
hsa-miR-19b-3p,CUL5
hsa-miR-7-5p,CUL5
hsa-miR-155-5p,Cux1
hsa-miR-126-3p,CXCL12
hsa-miR-126-5p,CXCL12
hsa-miR-146a-5p,CXCL12
hsa-miR-23a-3p,CXCL12
hsa-miR-886-3p,CXCL12
hsa-miR-223-3p,CXCL2
hsa-miR-126-3p,CXCR4
hsa-miR-133b,CXCR4
hsa-miR-139-5p,CXCR4
hsa-miR-146a-5p,CXCR4
hsa-miR-150-5p,CXCR4
hsa-miR-224-5p,CXCR4
hsa-miR-494-3p,CXCR4
hsa-miR-9-5p,CXCR4
hsa-miR-223-3p,CYB5A
hsa-miR-34a-5p,CYBB
hsa-miR-181b-5p,CYLD
hsa-miR-182-5p,CYLD
hsa-miR-362-5p,CYLD
hsa-miR-500a-5p,CYLD
hsa-miR-24-3p,CYP11B2
hsa-let-7f-5p,CYP19A1
hsa-miR-106a-5p,CYP19A1
hsa-miR-19b-3p,CYP19A1
hsa-miR-378a-3p,CYP19A1
hsa-miR-98-5p,CYP19A1
hsa-miR-27b-3p,CYP1B1
hsa-miR-125b-5p,CYP24A1
hsa-miR-103a-3p,CYP2C8
hsa-miR-107,CYP2C8
hsa-let-7b-5p,CYP2J2
hsa-miR-155-5p,CYP2U1
hsa-miR-27b-3p,CYP3A4
hsa-miR-122-5p,CYP7A1
hsa-miR-422a,CYP7A1
hsa-miR-100-5p,CYR61
hsa-miR-155-5p,CYR61
hsa-miR-205-5p,CYR61
hsa-miR-22-3p,CYR61
hsa-miR-30a-3p,CYR61
hsa-miR-634,CYR61
hsa-miR-335-5p,DAAM2
hsa-miR-93-5p,DAB2
hsa-miR-338-3p,DAB2IP
hsa-miR-217,DACH1
hsa-miR-31-5p,DACT3
hsa-miR-103a-3p,DAPK1
hsa-miR-107,DAPK1
hsa-miR-21-5p,DAXX
hsa-miR-302a-3p,DAZAP2
hsa-miR-451a,DCBLD2
hsa-miR-155-5p,DCUN1D2
hsa-miR-128-3p,DCX
hsa-miR-210-3p,DDAH1
hsa-miR-145-5p,DDC
hsa-miR-211-5p,DDIT3
hsa-miR-181a-5p,DDIT4
hsa-miR-221-3p,DDIT4
hsa-miR-30c-5p,DDIT4
hsa-miR-199a-5p,DDR1
hsa-miR-199b-5p,DDR1
hsa-miR-145-5p,DDX17
hsa-miR-181a-5p,DDX3X
hsa-miR-200b-3p,DDX53
hsa-miR-10b-5p,DDX58
hsa-miR-143-3p,DDX6
hsa-miR-145-5p,DDX6
hsa-miR-24-3p,DEDD
hsa-miR-21-5p,DERL1
hsa-miR-155-5p,DET1
hsa-miR-145-5p,DFFA
hsa-miR-125b-5p,DGAT1
hsa-miR-297,DGUOK
hsa-miR-34a-5p,DGUOK
hsa-miR-24-3p,DHFR
hsa-miR-24-3p,DHFRP1
hsa-miR-155-5p,DHX40
hsa-let-7a-5p,DICER1
hsa-let-7d-5p,DICER1
hsa-miR-103a-3p,DICER1
hsa-miR-107,DICER1
hsa-miR-130a-3p,DICER1
hsa-miR-130b-3p,DICER1
hsa-miR-18a-5p,DICER1
hsa-miR-192-5p,DICER1
hsa-miR-195-5p,DICER1
hsa-miR-221-3p,DICER1
hsa-miR-222-3p,DICER1
hsa-miR-29a-3p,DICER1
hsa-miR-374a-5p,DICER1
hsa-miR-3928-3p,DICER1
hsa-miR-497-5p,DICER1
hsa-miR-519a-3p,DICER1
hsa-miR-581,DICER1
hsa-miR-9-5p,DICER1
hsa-miR-210-3p,DIMT1L
hsa-miR-224-5p,DIO1
hsa-miR-383-5p,DIO1
hsa-miR-221-3p,DIRAS3
hsa-miR-222-3p,DIRAS3
hsa-miR-29a-3p,DKK1
hsa-miR-31-5p,DKK1
hsa-miR-371a-3p,DKK1
hsa-miR-372-3p,DKK1
hsa-miR-373-3p,DKK1
hsa-miR-1260b,DKK2
hsa-miR-218-5p,DKK2
hsa-miR-221-3p,DKK2
hsa-miR-222-3p,DKK2
hsa-miR-183-5p,DKK3
hsa-miR-92b-3p,DKK3
hsa-miR-200a-3p,DLC1
hsa-miR-200b-3p,DLC1
hsa-miR-200c-3p,DLC1
hsa-miR-192-5p,DLG5
hsa-miR-34a-5p,DLL1
hsa-miR-30b-5p,DLL4
hsa-miR-30c-5p,DLL4
hsa-miR-141-3p,DLX5
hsa-miR-200a-3p,DLX5
hsa-miR-203a-3p,DLX5
hsa-miR-31-5p,DMD
hsa-miR-15a-5p,DMTF1
hsa-miR-1908-5p,DNAJA4
hsa-miR-199a-3p,DNAJA4
hsa-miR-199a-5p,DNAJA4
hsa-miR-29b-3p,DNAJB11
hsa-miR-17-5p,DNAJC27
hsa-miR-24-3p,DND1
hsa-miR-126-3p,DNMT1
hsa-miR-140-5p,DNMT1
hsa-miR-148a-3p,DNMT1
hsa-miR-152-3p,DNMT1
hsa-miR-17-5p,DNMT1
hsa-miR-185-5p,DNMT1
hsa-miR-18a-5p,DNMT1
hsa-miR-19a-3p,DNMT1
hsa-miR-19b-3p,DNMT1
hsa-miR-200a-3p,DNMT1
hsa-miR-200b-3p,DNMT1
hsa-miR-20a-5p,DNMT1
hsa-miR-29a-3p,DNMT1
hsa-miR-29b-3p,DNMT1
hsa-miR-30b-5p,DNMT1
hsa-miR-342-3p,DNMT1
hsa-miR-429,DNMT1
hsa-miR-92a-3p,DNMT1
hsa-miR-101-3p,DNMT3A
hsa-miR-143-3p,DNMT3A
hsa-miR-194-5p,DNMT3A
hsa-miR-200b-3p,DNMT3A
hsa-miR-200c-3p,DNMT3A
hsa-miR-29a-3p,DNMT3A
hsa-miR-29b-3p,DNMT3A
hsa-miR-29c-3p,DNMT3A
hsa-miR-369-5p,DNMT3A
hsa-miR-148a-3p,DNMT3B
hsa-miR-200b-3p,DNMT3B
hsa-miR-200c-3p,DNMT3B
hsa-miR-26a-5p,DNMT3B
hsa-miR-29a-3p,DNMT3B
hsa-miR-29b-3p,DNMT3B
hsa-miR-29c-3p,DNMT3B
hsa-miR-369-5p,DNMT3B
hsa-miR-140-5p,DNPEP
hsa-miR-155-5p,DOCK1
hsa-miR-486-5p,DOCK3
hsa-miR-21-5p,DOCK4
hsa-miR-21-5p,DOCK5
hsa-miR-21-5p,DOCK7
hsa-miR-331-3p,DOHH
hsa-miR-642a-5p,DOHH
hsa-miR-27a-3p,DPYD
hsa-miR-27b-3p,DPYD
hsa-miR-181c-5p,DPYSL2
hsa-miR-19a-3p,DPYSL2
hsa-miR-224-5p,DPYSL2
hsa-miR-452-5p,DPYSL2
hsa-miR-513a-5p,DR1
hsa-miR-513b-5p,DR1
hsa-miR-513c-5p,DR1
hsa-miR-199a-5p,DRAM1
hsa-miR-382-5p,DRD1
hsa-miR-504-5p,DRD1
hsa-miR-9-5p,DRD2
hsa-miR-25-3p,DSC2
hsa-miR-122-5p,DSTYK
hsa-miR-145-5p,DTD1
hsa-miR-192-5p,DTL
hsa-miR-30a-5p,DTL
hsa-miR-101-3p,DUSP1
hsa-miR-146a-5p,DUSP1
hsa-miR-940,DUSP1
hsa-miR-21-5p,DUSP10
hsa-miR-92a-3p,DUSP10
hsa-miR-122-5p,DUSP2
hsa-miR-20a-5p,DUSP2
hsa-miR-29b-3p,DUSP2
hsa-miR-185-5p,DUSP4
hsa-miR-181a-5p,DUSP5
hsa-miR-125b-5p,DUSP6
hsa-miR-181a-5p,DUSP6
hsa-miR-221-3p,DVL2
hsa-miR-324-3p,DVL2
hsa-miR-1246,DYRK1A
hsa-let-7f-5p,DYRK2
hsa-miR-24-3p,DYRK2
hsa-miR-143-3p,DYT10
hsa-miR-106a-5p,E2F1
hsa-miR-106b-5p,E2F1
hsa-miR-149-3p,E2F1
hsa-miR-17-5p,E2F1
hsa-miR-181b-5p,E2F1
hsa-miR-203a-3p,E2F1
hsa-miR-205-5p,E2F1
hsa-miR-20a-5p,E2F1
hsa-miR-21-5p,E2F1
hsa-miR-223-3p,E2F1
hsa-miR-329-3p,E2F1
hsa-miR-330-3p,E2F1
hsa-miR-331-3p,E2F1
hsa-miR-362-3p,E2F1
hsa-miR-93-5p,E2F1
hsa-let-7a-5p,E2F2
hsa-miR-125b-5p,E2F2
hsa-miR-155-5p,E2F2
hsa-miR-24-3p,E2F2
hsa-miR-98-5p,E2F2
hsa-miR-125b-5p,E2F3
hsa-miR-128-3p,E2F3
hsa-miR-141-3p,E2F3
hsa-miR-145-5p,E2F3
hsa-miR-195-5p,E2F3
hsa-miR-200b-3p,E2F3
hsa-miR-200c-3p,E2F3
hsa-miR-203a-3p,E2F3
hsa-miR-210-3p,E2F3
hsa-miR-217,E2F3
hsa-miR-34a-5p,E2F3
hsa-miR-34c-5p,E2F3
hsa-miR-449a,E2F3
hsa-miR-106b-5p,E2F5
hsa-miR-181a-5p,E2F5
hsa-miR-205-5p,E2F5
hsa-miR-124-3p,E2F6
hsa-miR-151a-5p,E2F6
hsa-miR-193a-3p,E2F6
hsa-miR-28-5p,E2F6
hsa-miR-223-3p,ECT2
hsa-miR-204-5p,EDEM1
hsa-miR-581,EDEM1
hsa-miR-1-3p,EDN1
hsa-miR-155-5p,EDN1
hsa-miR-199a-5p,EDN1
hsa-miR-200c-3p,EDNRA
hsa-miR-203a-3p,EDNRA
hsa-miR-224-5p,EDNRA
hsa-miR-27b-3p,EDNRA
hsa-miR-101-3p,EED
hsa-miR-663a,EEF1A2
hsa-miR-744-5p,EEF1A2
hsa-miR-346,EFEMP2
hsa-miR-200c-3p,EFNA1
hsa-miR-210-3p,EFNA3
hsa-miR-124-3p,EFNB1
hsa-miR-204-5p,EFNB2
hsa-miR-20b-5p,EFNB2
hsa-miR-582-5p,EFNB2
hsa-miR-126-3p,EGFL7
hsa-let-7a-5p,EGFR
hsa-miR-125a-5p,EGFR
hsa-miR-128-3p,EGFR
hsa-miR-128b,EGFR
hsa-miR-133a-3p,EGFR
hsa-miR-133b,EGFR
hsa-miR-145-5p,EGFR
hsa-miR-146a-5p,EGFR
hsa-miR-21-5p,EGFR
hsa-miR-218-5p,EGFR
hsa-miR-219a-5p,EGFR
hsa-miR-27a-3p,EGFR
hsa-miR-302b-3p,EGFR
hsa-miR-542-5p,EGFR
hsa-miR-574-3p,EGFR
hsa-miR-7-5p,EGFR
hsa-miR-205-5p,EGLN2
hsa-miR-122-5p,EGLN3
hsa-miR-20a-5p,EGLN3
hsa-miR-183-5p,EGR1
hsa-miR-191-5p,EGR1
hsa-miR-142-3p,EGR2
hsa-miR-150-5p,EGR2
hsa-miR-20a-5p,EGR2
hsa-miR-210-3p,EHD2
hsa-miR-138-5p,EID1
hsa-let-7d-5p,EIF2C1
hsa-let-7f-5p,EIF2C1
hsa-let-7i-5p,EIF2C1
hsa-miR-503-5p,EIF2C1
hsa-miR-184,EIF2C2
hsa-miR-129-5p,EIF2C3
hsa-let-7a-5p,EIF2C4
hsa-miR-24-3p,EIF2S3
hsa-miR-15b-5p,EIF4A1
hsa-miR-21-5p,EIF4A2
hsa-miR-141-3p,EIF4E
hsa-miR-145-5p,EIF4E
hsa-miR-497-5p,EIF4E
hsa-miR-768-3p,EIF4E
hsa-miR-125b-5p,EIF4EBP1
hsa-miR-520c-3p,EIF4G1
hsa-miR-125b-5p,EIF5A2
hsa-miR-125a-5p,ELAVL1
hsa-miR-146a-5p,ELAVL1
hsa-miR-519a-3p,ELAVL1
hsa-miR-519b-3p,ELAVL1
hsa-miR-519c-3p,ELAVL1
hsa-miR-9-5p,ELAVL1
hsa-miR-375,ELAVL4
hsa-let-7f-5p,ELF4
hsa-miR-5787,ELF5
hsa-miR-124-3p,ELK3
hsa-miR-141-3p,ELMO2
hsa-miR-200a-3p,ELMO2
hsa-miR-200b-3p,ELMO2
hsa-miR-200c-3p,ELMO2
hsa-miR-429,ELMO2
hsa-miR-195-5p,ELN
hsa-miR-204-5p,ELOVL6
hsa-miR-211-5p,ELOVL6
hsa-miR-125b-5p,ENPEP
hsa-miR-122-5p,ENTPD4
hsa-miR-106b-5p,EOMES
hsa-miR-150-5p,EP300
hsa-miR-574-3p,EP300
hsa-miR-145-5p,EPAS1
hsa-miR-17-5p,EPAS1
hsa-miR-185-5p,EPAS1
hsa-miR-20a-5p,EPAS1
hsa-miR-223-3p,EPB41L3
hsa-miR-26b-5p,EPHA2
hsa-miR-520d-3p,EPHA2
hsa-miR-10a-5p,EPHA4
hsa-miR-34a-5p,EPHA5
hsa-miR-128-3p,EPHB1
hsa-miR-128-3p,EPHB2
hsa-miR-185-5p,EPHB2
hsa-miR-20b-5p,EPHB4
hsa-miR-335-5p,EPN2
hsa-miR-125b-5p,EPO
hsa-miR-125b-5p,EPOR
hsa-miR-125a-5p,ERBB2
hsa-miR-125b-5p,ERBB2
hsa-miR-134-5p,ERBB2
hsa-miR-193a-3p,ERBB2
hsa-miR-193a-5p,ERBB2
hsa-miR-199a-5p,ERBB2
hsa-miR-199b-5p,ERBB2
hsa-miR-205-5p,ERBB2
hsa-miR-21-5p,ERBB2
hsa-miR-25-3p,ERBB2
hsa-miR-323b-5p,ERBB2
hsa-miR-331-3p,ERBB2
hsa-miR-375,ERBB2
hsa-miR-498,ERBB2
hsa-miR-541-3p,ERBB2
hsa-miR-548d-3p,ERBB2
hsa-miR-552-3p,ERBB2
hsa-miR-559,ERBB2
hsa-miR-141-3p,ERBB2IP
hsa-miR-200a-3p,ERBB2IP
hsa-miR-200b-3p,ERBB2IP
hsa-miR-200c-3p,ERBB2IP
hsa-miR-429,ERBB2IP
hsa-miR-125a-5p,ERBB3
