X1-Mar
X4-Mar
X8-Mar
X9-Mar
X4-Sep
X8-Sep
X9-Sep
X10-Sep
A4GNT
AAED1
AAGAB
AARD
AASS
ABCA1
ABCA10
ABCA12
ABCA5
ABCA8
ABCA9
ABCB1
ABCB11
ABCB5
ABCB8
ABCB9
ABCC5
ABCC6
ABCC9
ABCD2
ABCD3
ABCD4
ABCF1
ABCF2
ABCG1
ABCG2
ABCG8
ABHD12
ABHD13
ABHD14B
ABHD17C
ABHD2
ABHD3
ABHD5
ABHD6
ABI3BP
ABL1
ABL2
ABLIM1
ABLIM3
ABR
ABRA
ACACB
ACAD11
ACAD8
ACADL
ACADM
ACADS
ACAN
ACAT1
ACBD3
ACBD4
ACE2
ACER2
ACKR2
ACKR3
ACKR4
ACLY
ACO1
ACOX1
ACP1
ACP2
ACRC
ACSBG1
ACSL1
ACSL4
ACSL5
ACSM2A
ACSM5
ACSS2
ACSS3
ACTB
ACTBL2
ACTG1
ACTL8
ACTR2
ACTR3
ACTR5
ACVR1C
ACVR2A
ACVRL1
ADAM11
ADAM12
ADAM19
ADAM33
ADAM8
ADAMDEC1
ADAMTS1
ADAMTS10
ADAMTS14
ADAMTS18
ADAMTS3
ADAMTS4
ADAMTS5
ADAMTS6
ADAMTS8
ADAMTS9
ADAMTSL1
ADAMTSL2
ADAMTSL3
ADAMTSL4
ADAR
ADARB1
ADAT2
ADCK3
ADCY3
ADCY6
ADD1
ADD2
ADD3
ADGRA2
ADGRB3
ADGRD1
ADGRE5
ADGRF3
ADGRF4
ADGRF5
ADGRG2
ADGRG3
ADGRL2
ADGRL3
ADGRL4
ADH1B
ADH4
ADH5
ADH6
ADI1
ADIPOQ
ADIPOR1
ADM
ADM2
ADNP
ADORA1
ADORA2B
ADORA3
ADPGK
ADPRH
ADPRHL2
ADRA1B
ADRA1D
ADRA2A
ADRA2B
ADRA2C
ADRB1
ADRB2
ADRB3
ADRBK2
ADSS
ADTRP
AEBP2
AFAP1L1
AFAP1L2
AFF1
AFF2
AFTPH
